n	w	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
1	1	77.0	67.7	77.5	73.3	77.2	78.8
1	2	82.2	61.8	75.7	74.0	78.8	78.3
1	3	86.7	53.1	72.8	73.1	79.1	77.7
2	1	78.9	68.5	78.4	74.8	78.6	80.4
2	2	83.2	60.6	75.4	74.1	79.0	79.8
2	3	87.4	54.2	73.3	73.8	79.7	79.4
3	1	79.7	68.3	78.5	75.2	79.0	81.2
3	2	84.0	62.3	76.3	75.2	79.9	80.6
3	3	87.9	55.8	74.1	74.9	80.4	80.3
