Parameter	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
0.25	83.0	65.8	77.8	76.1	80.2	82.6
0.50	84.0	63.2	76.9	75.7	80.2	82.6
1.00	84.2	62.7	76.6	75.5	80.1	82.3
2.00	84.0	61.9	76.2	75.1	79.8	81.9
