DS1,0.25,171,45,134,51,401,0.797872872873,0.77027027027,0.791666666667,0.780821917808
DS1,0.25,129,37,38,44,248,0.747575668528,0.745664739884,0.777108433735,0.761061946903
DS1,0.25,159,22,48,49,278,0.82098308367,0.764423076923,0.878453038674,0.817480719794
DS1,0.25,177,22,80,50,329,0.862659451102,0.779735682819,0.889447236181,0.830985915493
DS1,0.25,147,25,88,54,314,0.826686865378,0.731343283582,0.854651162791,0.788203753351
DS1,0.25,138,31,66,56,291,0.765835677563,0.711340206186,0.816568047337,0.760330578512
DS1,0.25,178,29,35,67,309,0.75850146822,0.726530612245,0.859903381643,0.787610619469
DS1,0.25,154,59,93,33,339,0.782360831657,0.823529411765,0.723004694836,0.77
DS1,0.25,165,28,41,36,270,0.758562680842,0.820895522388,0.854922279793,0.837563451777
DS1,0.25,137,31,57,46,271,0.787447988904,0.748633879781,0.815476190476,0.780626780627
