Parameter	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
0.25	80.4	69.4	73.4	75.4	76.4	82.2
0.50	77.9	70.6	73.4	74.6	75.1	82.4
1.00	75.1	74.3	75.1	75.1	74.9	82.6
2.00	74.9	74.2	74.7	74.8	74.6	82.8
