0.25	84.0	71.7	78.8	78.3	81.0	85.7
0.50	84.8	70.6	78.3	78.2	81.2	85.6
1.00	83.9	71.1	78.4	77.9	80.7	85.3
2.00	85.2	69.2	77.6	77.9	81.0	85.0
