n	w	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
1	1	77.3	69.0	78.1	74.0	77.7	79.2
1	2	83.1	62.0	75.7	74.5	79.2	78.6
1	3	87.6	52.8	72.6	73.2	79.2	78.0
2	1	79.2	69.9	79.1	75.5	79.1	80.9
2	2	84.1	62.4	76.2	75.3	79.9	80.2
2	3	87.9	55.0	73.6	74.4	80.0	79.9
3	1	80.3	69.7	79.2	76.0	79.7	81.6
3	2	84.0	63.5	76.7	75.7	80.1	81.0
3	3	87.8	56.0	74.0	74.7	80.2	80.8
