n	w	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
1	1	77.1	68.6	77.9	73.6	77.4	79.1
1	2	83.0	61.1	75.4	74.0	78.9	78.6
1	3	87.1	53.0	72.5	73.0	79.1	78.1
2	1	79.0	68.8	78.3	74.8	78.6	80.9
2	2	84.5	60.8	75.5	74.7	79.7	80.3
2	3	87.9	54.8	73.7	74.3	80.1	79.9
3	1	80.3	68.7	78.5	75.5	79.3	81.4
3	2	84.4	62.0	76.1	75.2	80.0	80.8
3	3	88.2	56.3	74.3	75.1	80.6	80.6
