n	w	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
1	1	79.0	63.2	78.1	73.3	78.4	76.7
1	2	84.2	57.7	76.9	74.6	80.2	76.2
1	3	87.6	48.4	73.7	72.8	79.8	75.8
2	1	79.9	63.8	78.6	74.1	79.1	78.3
2	2	83.9	57.0	76.4	74.0	79.8	77.5
2	3	87.7	49.7	74.2	73.4	80.2	77.1
3	1	80.7	64.1	78.9	74.7	79.7	78.8
3	2	83.8	58.0	76.8	74.3	80.0	78.1
3	3	87.7	50.0	74.4	73.6	80.3	78.0
