n	w	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
1	1	78.7	70.7	73.1	74.9	75.6	80.6
1	2	82.2	64.7	70.2	73.7	75.6	79.7
1	3	84.0	63.0	69.5	73.6	75.9	79.2
2	1	78.4	71.7	73.9	75.3	75.9	81.7
2	2	84.0	63.9	70.3	74.2	76.4	80.9
2	3	85.0	63.7	70.3	74.5	76.8	80.4
3	1	80.3	70.5	73.4	75.7	76.6	82.5
3	2	85.7	63.4	70.4	74.8	77.2	81.8
3	3	86.7	62.0	69.7	74.5	77.2	81.4
