Parameter	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
0.25	81.7	71.8	76.6	77.1	79.0	84.6
0.50	82.7	70.2	75.8	76.9	79.0	84.6
1.00	81.4	72.0	76.6	77.0	78.8	84.4
2.00	79.7	73.2	77.0	76.7	78.2	84.1
