Parameter	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
0.25	82.6	56.3	76.2	73.1	79.1	79.1
0.50	82.7	56.8	76.8	73.5	79.4	79.3
1.00	86.0	50.9	74.9	73.3	80.0	79.3
2.00	84.2	56.3	76.7	74.2	80.2	79.0
