Parameter	Sensitivity	Specificity	Precision	Accuracy	F1-score	AUC
0.25	78.7	71.2	77.7	75.5	78.0	82.0
0.50	78.0	72.8	78.5	75.6	78.0	82.0
1.00	78.6	70.5	77.5	75.0	77.8	81.8
2.00	79.5	69.4	77.0	75.0	78.0	81.5
